state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
ANDAMAN AND NICOBAR ISLANDS,Nicobars,1.934,0.0,6.445,5.79
ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,2.421,0.282,7.412,4.64
ANDAMAN AND NICOBAR ISLANDS,South Andaman,6.384,5.504,8.437,6.398
ANDHRA PRADESH,Adilabad,2.944,2.444,4.11,6.937
ANDHRA PRADESH,Anantapur,3.098,2.491,4.515,7.237
ANDHRA PRADESH,Chittoor,3.657,2.776,5.714,7.303
ANDHRA PRADESH,East Godavari,3.354,2.341,5.719,8.188
ANDHRA PRADESH,Guntur,3.635,2.971,5.187,7.573
ANDHRA PRADESH,Hyderabad,9.311,9.821,8.121,9.549
ANDHRA PRADESH,Karimnagar,3.018,2.25,4.812,7.995
ANDHRA PRADESH,Khammam,2.925,2.121,4.802,7.739
ANDHRA PRADESH,Krishna,4.358,3.561,6.219,8.057
ANDHRA PRADESH,Kurnool,2.957,2.568,3.864,7.537
ANDHRA PRADESH,Mahbubnagar,1.947,1.451,3.103,7.521
ANDHRA PRADESH,Medak,2.827,2.275,4.116,7.734
ANDHRA PRADESH,Nalgonda,2.615,1.748,4.637,7.691
ANDHRA PRADESH,Nizamabad,2.625,1.962,4.172,7.611
ANDHRA PRADESH,Prakasam,2.574,1.785,4.415,7.027
ANDHRA PRADESH,Rangareddy,6.948,7.04,6.735,8.652
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,3.391,2.539,5.378,7.361
ANDHRA PRADESH,Srikakulam,2.336,1.499,4.288,6.808
ANDHRA PRADESH,Visakhapatnam,4.706,4.488,5.215,7.613
ANDHRA PRADESH,Vizianagaram,2.5,1.901,3.897,7.049
ANDHRA PRADESH,Warangal,3.243,2.532,4.901,7.999
ANDHRA PRADESH,West Godavari,3.151,1.817,6.263,8.169
ANDHRA PRADESH,Y.S.R.,3.607,3.013,4.992,7.633
ARUNACHAL PRADESH,Anjaw,1.315,0.601,2.979,2.935
ARUNACHAL PRADESH,Changlang,2.028,1.47,3.329,3.583
ARUNACHAL PRADESH,Dibang Valley,3.593,3.286,4.31,3.256
ARUNACHAL PRADESH,East Kameng,2.636,2.377,3.238,2.592
ARUNACHAL PRADESH,East Siang,3.802,3.027,5.612,4.969
ARUNACHAL PRADESH,Kurung Kumey,0.891,0.507,1.787,1.888
ARUNACHAL PRADESH,Lohit,2.981,2.297,4.576,3.773
ARUNACHAL PRADESH,Lower Dibang Valley,3.077,2.286,4.922,3.737
ARUNACHAL PRADESH,Lower Subansiri,3.277,2.134,5.944,5.402
ARUNACHAL PRADESH,Papum Pare,5.976,5.655,6.725,6.478
ARUNACHAL PRADESH,Tawang,2.328,1.697,3.801,6.563
ARUNACHAL PRADESH,Tirap,2.329,2.351,2.277,6.407
